,"('Period_YYYY_MM', '')",Period_1,"('No_of_Credit_Cards', 'AMEX')","('No_of_Credit_Cards', 'AXIS')","('No_of_Credit_Cards', 'HDFC')","('No_of_Credit_Cards', 'ICICI')","('No_of_Credit_Cards', 'INDUSIND')","('No_of_Credit_Cards', 'KOTAK')","('No_of_Credit_Cards', 'Others')","('No_of_Credit_Cards', 'RBL')","('No_of_Credit_Cards', 'SBI')","('No_of_Credit_Cards', 'Grand_Total')","('Total_Credit_Card_Purchase_Value', 'AMEX')","('Total_Credit_Card_Purchase_Value', 'AXIS')","('Total_Credit_Card_Purchase_Value', 'HDFC')","('Total_Credit_Card_Purchase_Value', 'ICICI')","('Total_Credit_Card_Purchase_Value', 'INDUSIND')","('Total_Credit_Card_Purchase_Value', 'KOTAK')","('Total_Credit_Card_Purchase_Value', 'Others')","('Total_Credit_Card_Purchase_Value', 'RBL')","('Total_Credit_Card_Purchase_Value', 'SBI')"
20,2023/12,2023/12/01,1357137,13584295,19878068,16484458,2733139,5790957,14563125,5036557,18476875,97904611,42009468559,1.90553E+11,4.47719E+11,2.82157E+11,89783115698,64757657096,1.68491E+11,73229350286,2.92493E+11
21,2024/01,2024/01/01,1341913,13753510,20103905,16797580,2797275,5971753,15014901,5113532,18605888,99500257,41581723144,2.03055E+11,4.37115E+11,2.96734E+11,77116074764,62645275445,1.683E+11,70954649340,3.06938E+11
22,2024/02,2024/02/01,1346343,13909552,20404625,16846344,2847599,6042418,15289861,5161788,18751636,100600166,42268282626,1.75281E+11,4.02885E+11,2.68434E+11,77583135033,61055631741,1.61998E+11,70080583258,2.32478E+11
23,2024/03,2024/03/01,1348225,14211482,20590921,16954660,2893286,5954361,15771616,5189180,18889005,101802736,46475843224,1.89414E+11,4.37413E+11,3.07334E+11,80764945344,73014975042,1.81522E+11,79002496234,2.49649E+11
24,2024/04,2024/04/01,1354029,14223475,20822152,17008241,2936739,6000473,15976453,5214593,19003597,102539752,44795143978,1.84868E+11,4.08989E+11,2.94036E+11,75873538444,70458150276,1.70906E+11,69106946218,2.45952E+11
25,2024/05,2024/05/01,1360555,14340543,21111287,17084977,2966866,5935815,16150536,5232433,19117365,103300377,48464762932,1.92251E+11,4.14065E+11,3.19878E+11,82315139247,73391206350,1.80456E+11,74976575826,2.63754E+11
26,2024/06,2024/06/01,1367400,14457746,21333467,17268688,2992748,5517030,16380655,5256416,19238868,103813018,43207879536,1.77503E+11,4.14517E+11,3.04975E+11,77339859887,69619888492,1.76656E+11,71736919278,2.52666E+11
27,2024/07,2024/07/01,1384863,14612080,21731989,17413024,3003867,5474497,16330662,5280469,19336986,104568437,46957919843,2.05062E+11,4.43686E+11,3.45659E+11,80376954705,68353223325,1.92865E+11,74959784026,2.68782E+11
28,2024/08,2024/08/01,1404839,14739214,21973579,17558265,3009647,5413306,16681807,5264023,19447459,105492139,51004824272,1.95892E+11,4.34408E+11,3.25427E+11,80279834374,65548942777,1.91506E+11,73151950504,2.64801E+11
29,2024/09,2024/09/01,1419372,14792226,22405188,17562210,3022768,5305046,16791525,5218099,19586884,106103318,52283447320,1.87219E+11,5.22266E+11,3.14574E+11,84710980220,63329288813,1.90076E+11,70414207573,2.77148E+11
30,2024/10,2024/10/01,1429916,14771653,22646307,17700751,3054496,5207106,17097853,5174424,19807149,106889655,59525930142,2.60703E+11,5.36061E+11,3.80802E+11,94312029868,73848479629,2.15316E+11,78823831469,3.18496E+11
31,2024/11,2024/11/01,1426449,14731919,22833425,17751518,3081902,5094515,17173433,5108342,20038207,107239710,56941876522,1.99101E+11,4.55563E+11,3.16884E+11,87804748000,61402331041,1.95481E+11,67874415028,2.51929E+11
32,2024/12,2024/12/01,1437498,14796963,23145038,17901052,3117373,5021613,17350986,5038440,20246942,108055905,57142282055,2.16382E+11,5.31653E+11,3.50167E+11,94093739784,67642557650,2.06428E+11,75213626822,2.82135E+11
33,2025/01,2025/01/01,1453258,14782101,23444799,18084209,3152176,4995388,17506267,4973507,20481479,108873184,54751845371,2.02122E+11,5.0664E+11,3.5682E+11,88891919972,70314149536,1.98689E+11,73265374359,2.89767E+11
34,2025/02,2025/02/01,1466843,14770420,23623081,18110863,3180830,4959362,17676144,4863716,20664097,109315356,51046172241,1.88843E+11,4.63782E+11,3.09913E+11,88810985943,59887957667,1.82231E+11,65811182842,2.61755E+11
35,2025/03,2025/03/01,1455311,14899543,23840913,18208662,3163585,4840184,17824525,4828106,20823857,109884686,58614756635,2.3312E+11,5.77511E+11,3.66992E+11,93839883351,68688675648,2.13299E+11,78230994232,3.24643E+11
36,2025/04,2025/04/01,1424907,14955199,24001417,18300074,3181308,4839468,17975665,4776130,20982901,110437069,54091043530,2.12015E+11,5.17241E+11,3.50797E+11,88925167046,60453029364,1.96508E+11,68191550516,2.94152E+11
37,2025/05,2025/05/01,1417026,15060789,24276236,18268429,3189282,4866190,18126640,4735288,21109673,111049553,53986823898,2.24547E+11,5.17472E+11,3.45153E+11,90826420675,63079585843,2.05045E+11,74313869821,3.23892E+11
38,2025/06,2025/06/01,1405989,15054518,24489022,17980990,3188821,4579966,18389274,4687959,21192954,110969493,50989344633,2.18681E+11,5.11577E+11,3.33518E+11,83215607306,59962313540,1.98686E+11,68529422857,3.05723E+11
39,2025/07,2025/07/01,1390801,15177034,24804437,18048654,3192572,4581725,18706257,4646898,21259594,111807972,52447738737,2.27765E+11,5.37976E+11,3.61706E+11,89187688973,61677941814,2.09952E+11,72218398585,3.25562E+11
40,2025/08,2025/08/01,1365954,15317835,25026293,18179261,3186869,4588479,18960605,4541171,21329125,112495592,51979540215,2.17612E+11,5.3873E+11,3.44927E+11,93732105770,56315119909,2.06961E+11,70809842300,3.30633E+11
41,2025/09,2025/09/01,1350152,15424177,25285047,18372151,3180135,4553703,19254437,4468445,21502248,113390495,56326306066,2.60431E+11,6.05824E+11,4.19217E+11,81042648225,61242144344,2.0801E+11,68749671082,4.06228E+11
42,2025/10,2025/10/01,1347687,15504019,25429466,18476537,3178907,4554468,19447425,4450234,21629678,114018421,60934245764,2.44069E+11,6.19554E+11,3.95548E+11,53871841836,65159579309,2.28463E+11,74714131340,3.99989E+11
43,2025/11,2025/11/01,1343121,15570286,25638326,18583024,3140333,4579674,19831588,4450615,21739203,114876170,56514779356,2.05264E+11,5.55523E+11,3.41604E+11,51511205476,58819018503,2.11534E+11,67863468363,3.39357E+11
44,2025/12,2025/12/01,1336371,15649230,25798482,18650525,3175162,4557559,20218147,4596775,21809462,115791713,59501247097,2.31817E+11,5.72355E+11,3.68724E+11,52598867275,63000829365,2.27464E+11,72476901224,3.98929E+11
45,2026/01,2026/01/01,1334477,15737142,26108701,18772905,3068120,4593527,20552710,4583137,21901688,116652407,58111145035,2.25509E+11,5.65183E+11,3.51798E+11,51091333599,60348352820,2.2698E+11,71563657118,3.80265E+11
46,2026/02,2026/02/01,1319326,15892955,26260095,18913163,3048435,4631622,21058945,4608807,21971138,117704486,56455135165,1.97152E+11,5.04059E+11,3.05338E+11,45244719079,53352330357,2.05472E+11,64770388371,3.41076E+11
47,2026/03,2026/03/01,1310967,16026533,26312515,19051092,3024303,4664877,21519313,4626035,22098042,118633677,65796880603,2.49097E+11,6.53378E+11,3.65232E+11,51704582052,65003662160,2.44058E+11,76258348519,4.24418E+11
